Deaths,Month,Year
7276,0,1999
7785,1,1999
8348,2,1999
5394,3,1999
4259,4,1999
3582,5,1999
3571,6,2000
3357,7,2000
3678,8,2000
4379,9,2000
4781,10,2000
7320,11,2000
12191,0,2000
6880,1,2000
5476,2,2000
4693,3,2000
4259,4,2000
3987,5,2000
3867,6,2000
3940,7,2001
3997,8,2001
4650,9,2001
4996,10,2001
6377,11,2001
7270,0,2001
6061,1,2001
6127,2,2001
5353,3,2001
4808,4,2001
4660,5,2001
4231,6,2002
3839,7,2002
4009,8,2002
5086,9,2002
4949,10,2002
5641,11,2002
7139,0,2002
7587,1,2002
8123,2,2002
5589,3,2002
4849,4,2002
4346,5,2002
4136,6,2002
4076,7,2003
4099,8,2003
4673,9,2003
5028,10,2003
6036,11,2003
6676,0,2003
5952,1,2003
6105,2,2003
5103,3,2003
4769,4,2003
4318,5,2003
4218,6,2004
4043,7,2004
4025,8,2004
4674,9,2004
5076,10,2004
10204,11,2004
9726,0,2004
5786,1,2004
5622,2,2004
4804,3,2004
4276,4,2004
4044,5,2004
3817,6,2004
3728,7,2005
3743,8,2005
4377,9,2005
4366,10,2005
5375,11,2005
7254,0,2005
7818,1,2005
8079,2,2005
5582,3,2005
4705,4,2005
4019,5,2005
3795,6,2006
3633,7,2006
3573,8,2006
4264,9,2006
4414,10,2006
5865,11,2006
6517,0,2006
5559,1,2006
6464,2,2006
4886,3,2006
4317,4,2006
3846,5,2006
3718,6,2006
3520,7,2007
3727,8,2007
4206,9,2007
4356,10,2007
5210,11,2007
5810,0,2007
5371,1,2007
5693,2,2007
4661,3,2007
4122,4,2007
3606,5,2007
3525,6,2008
3365,7,2008
3489,8,2008
3878,9,2008
4206,10,2008
4991,11,2008
5851,0,2008
6979,1,2008
7651,2,2008
5068,3,2008
4085,4,2008
3549,5,2008
3389,6,2008
3410,7,2009
3357,8,2009
4028,9,2009
4002,10,2009
4915,11,2009
5299,0,2009
4791,1,2009
5136,2,2009
4362,3,2009
3947,4,2009
3866,5,2009
3656,6,2010
3451,7,2010
3792,8,2010
5241,9,2010
5212,10,2010
4939,11,2010
5342,0,2010
4551,1,2010
5131,2,2010
4273,3,2010
3896,4,2010
3589,5,2010
3538,6,2010
3331,7,2011
3410,8,2011
3948,9,2011
4151,10,2011
4937,11,2011
6117,0,2011
5932,1,2011
5962,2,2011
4612,3,2011
4269,4,2011
3788,5,2011
3668,6,2012
3539,7,2012
3479,8,2012
3849,9,2012
4078,10,2012
4533,11,2012
5114,0,2012
4605,1,2012
5177,2,2012
4208,3,2012
3810,4,2012
3427,5,2012
3430,6,2012
3445,7,2013
3478,8,2013
3853,9,2013
4080,10,2013
6009,11,2013
9621,0,2013
6121,1,2013
5664,2,2013
4634,3,2013
3903,4,2013
3595,5,2013
3468,6,2014
3447,7,2014
3404,8,2014
3773,9,2014
3963,10,2014
5386,11,2014
7929,0,2014
5561,1,2014
5148,2,2014
4512,3,2014
4099,4,2014
3658,5,2014
3535,6,2014
3312,7,2015
3352,8,2015
3804,9,2015
3875,10,2015
6442,11,2015
10005,0,2015
6402,1,2015
5601,2,2015
4878,3,2015
4109,4,2015
3679,5,2015
3476,6,2016
3439,7,2016
3378,8,2016
3883,9,2016
3763,10,2016
4449,11,2016
5295,0,2016
5162,1,2016
6208,2,2016
5068,3,2016
4053,4,2016
3391,5,2016
3412,6,2016
3298,7,2017
3307,8,2017
3622,9,2017
3740,10,2017
4981,11,2017
6925,0,2017
6657,1,2017
6490,2,2017
4799,3,2017
3877,4,2017
3482,5,2017
3363,6,2018
3189,7,2018
3313,8,2018
3614,9,2018
3905,10,2018
6058,11,2018
12164,0,2018
8554,1,2018
6133,2,2018
4633,3,2018
3588,4,2018
3252,5,2018
3153,6,2018
3011,7,2019
3082,8,2019
3447,9,2019
3614,10,2019
4489,11,2019
